FileName,ReceiverID,Array,deploy_time,retrieve_time,RefTagID,Type,Status,DeploymentDate,DeploymentTime,Depth,Latitude,Longitude,DeploymentCrew,DeploymentNotes,RetrievalDate,RetrievalTime,RetrievalNotes,rkm
Cunningham_075,075,Cunningham,2026-05-19T10:32:00Z,2026-05-28T14:32:59Z,2546,3001,Retrieved,2026-05-19,02:32:00,NA,60.538952,-151.175501,"Stacey,Megan,Danielle",NA,2026-05-28,06:32:59,"Retrieved from downriver, caught on log, Check nearby receivers for approximate date of removal",10.84
Cunningham_075,075,Cunningham,2026-05-28T14:32:59Z,2026-06-24T10:40:00Z,2546,3001,Retrieved,2026-05-28,06:32:59,NA,60.538609,-151.174587,"Danielle,Megan","Redeployed from downriver, reciever was stuck on a log",2026-06-24,02:40:00,NA,10.84
Cunningham_075,075,Cunningham,2026-06-24T10:57:00Z,NA,0458,3001,Deployed,2026-06-24,02:57:00,NA,60.538761,-151.174502,"Danielle,Megan,Sophie",NA,NA,NA,NA,10.84
EagleRock_029,029,EagleRock,2026-05-18T12:59:00Z,2026-06-24T09:47:00Z,06B5,3001,Retrieved,2026-05-18,04:59:00,NA,60.547418,-151.116942,"Stacey,Megan,Danielle",NA,2026-06-24,01:47:00,Got pulled to a sand bar below Eagle Rock. Not sure what time but maybe can gleam from tilt data.,18.4
EagleRock_029,029,EagleRock,2026-06-24T10:05:00Z,NA,06B5,3001,Deployed,2026-06-24,02:05:00,NA,60.547418,-151.116942,"Danielle,Megan,Sophie",NA,NA,NA,NA,18.4
FirstBend_038,038,FirstBend,2026-05-19T11:23:00Z,NA,055D,3001,Deployed,2026-05-19,03:23:00,NA,60.521461,-151.240821,"Stacey,Megan,Danielle",NA,NA,NA,NA,6.03
FirstBend_080,080,FirstBend,2026-05-19T11:19:59Z,NA,0695,3001,Deployed,2026-05-19,03:19:59,NA,60.520718,-151.241295,"Stacey,Megan,Danielle",NA,NA,NA,NA,6.03
FirstCannery_042,042,FirstCannery,2026-05-20T11:30:00Z,NA,0957,3001,Deployed,2026-05-20,03:30:00,NA,60.53903,-151.2513,"Dan,Brian,Megan",NA,NA,NA,NA,3.9
FirstCannery_073,073,FirstCannery,2026-05-20T11:19:59Z,NA,054B,3001,Deployed,2026-05-20,03:19:59,NA,60.53914,-151.25232,"Dan,Brian,Megan",Buoy,NA,NA,NA,3.9
FunnyRiver_003SB,003SB,FunnyRiver,2026-06-11T10:41:00Z,NA,NA,3017,Deployed,2026-06-11,02:41:00,NA,60.490014,-150.860542,"Dave,Danielle,Megan",Funny River Trib,NA,NA,NA,NA
KenaiCanyon_039,039,KenaiCanyon,2026-06-02T12:09:00Z,NA,06A9,3001,Deployed,2026-06-02,04:09:00,11,60.458277,-150.163611,"Dan,Johnna",Set 10 m out from rock wall with single spruce snag,NA,NA,NA,107.93
KeyesProperty_063,063,KeyesProperty,2026-05-18T13:36:00Z,2026-06-29T11:23:00Z,052B,3001,Retrieved,2026-05-18,05:36:00,5,60.48153,-150.61356,"Dan,Dave,Stacey","Grappel, in-line with management marker",2026-06-29,03:23:00,NA,72.62
KeyesProperty_063,063,KeyesProperty,2026-06-29T11:32:59Z,NA,0525,3001,Deployed,2026-06-29,03:32:59,3.3,60.481479,-150.613977,"Dan,Madi,Nicole",NA,NA,NA,NA,72.62
Marine_001,001,Marine,2026-06-10T13:00:00Z,NA,0655,3001,Deployed,2026-06-10,05:00:00,5.9,60.536555,-151.306464,"Dan,Tony,Andy,Psy","longline, no time taken for other 06/10/2026 deployments, stlightly off gps",NA,NA,NA,-2.4
Marine_003,003,Marine,2026-06-05T08:03:00Z,2026-06-09T10:25:00Z,0595,3001,Retrieved,2026-06-05,00:03:00,6.8,60.539736,-151.308342,"Tony,Talise,Brian,Andy,Dan","ziptie, single",2026-06-09,02:25:00,Moved to new location without sd swap. Edit raw file later,-2.4
Marine_003,003,Marine,2026-06-09T10:42:00Z,NA,0595,3001,Deployed,2026-06-09,02:42:00,5.7,60.545845,-151.307352,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_004,004,Marine,2026-06-05T08:40:00Z,NA,0495,3001,Deployed,2026-06-05,00:40:00,5.4,60.554324,-151.297109,"Tony,Talise,Brian,Andy,Dan","twine, single",NA,NA,NA,-2.4
Marine_008,008,Marine,2026-06-10T13:00:00Z,NA,094B,3001,Deployed,2026-06-10,05:00:00,6.31,60.539679,-151.308218,"Dan,Tony,Andy,Psy","longline, no time taken for other 06/10/2026 deployments, hydrophone was loose and tightened",NA,NA,NA,-2.4
Marine_009,009,Marine,2026-06-09T11:29:00Z,NA,05B5,3001,Deployed,2026-06-09,03:29:00,6.1,60.532228,-151.301063,"Tony,Talise,Brian,Andy,Dan",longline,NA,NA,NA,-2.4
Marine_009,009,Marine,2026-06-09T11:32:59Z,NA,02B5,3001,Deployed,2026-06-09,03:32:59,5.8,60.534313,-151.304135,"Tony,Talise,Brian,Andy,Dan","longline, no ziptie holder",NA,NA,NA,-2.4
Marine_011,011,Marine,2026-06-05T08:13:00Z,NA,0525,3001,Deployed,2026-06-05,00:13:00,6.3,60.5484,-151.305431,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_013,013,Marine,2026-06-05T07:34:00Z,NA,0975,3001,Deployed,2026-06-04,23:34:00,7,60.528861,-151.293775,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_016,016,Marine,2026-06-09T11:06:59Z,NA,056B,3001,Deployed,2026-06-09,03:06:59,6.3,60.54375,-151.30844,"Tony,Talise,Brian,Andy,Dan",longline,NA,NA,NA,-2.4
Marine_017,017,Marine,2026-06-10T13:00:00Z,NA,0557,3001,Deployed,2026-06-10,05:00:00,5.9,60.540658,-151.30859,"Dan,Tony,Andy,Psy","longline, no time taken for other 06/10/2026 deployments",NA,NA,NA,-2.4
Marine_018,018,Marine,2026-06-10T13:00:00Z,NA,0529,3001,Deployed,2026-06-10,05:00:00,5.9,60.535598,-151.305853,"Dan,Tony,Andy,Psy","longline, no time taken for other 06/10/2026 deployments",NA,NA,NA,-2.4
Marine_019,019,Marine,2026-06-05T07:29:00Z,NA,AB55,3001,Deployed,2026-06-04,23:29:00,7.3,60.527987,-151.290543,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_021,021,Marine,2026-06-09T11:05:00Z,NA,0995,3001,Deployed,2026-06-09,03:05:00,6.5,60.542795,-151.308468,"Tony,Talise,Brian,Andy,Dan",longline,NA,NA,NA,-2.4
Marine_023,023,Marine,2026-06-05T07:23:00Z,NA,0935,3001,Deployed,2026-06-04,23:23:00,7.2,60.527469,-151.287178,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_024,024,Marine,2026-06-05T07:26:00Z,NA,08B5,3001,Deployed,2026-06-04,23:26:00,7.3,60.52767,-151.289037,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_025,025,Marine,2026-06-05T07:11:00Z,NA,094D,3001,Deployed,2026-06-04,23:11:00,5.8,60.52661,-151.281767,"Tony,Talise,Brian,Andy,Dan","ziptie broke at deployment, single",NA,NA,NA,-2.4
Marine_028,028,Marine,2026-06-05T08:26:00Z,NA,05A9,3001,Deployed,2026-06-05,00:26:00,6.2,60.551634,-151.301666,"Tony,Talise,Brian,Andy,Dan","twine, single",NA,NA,NA,-2.4
Marine_030,030,Marine,2026-06-05T07:20:00Z,NA,0929,3001,Deployed,2026-06-04,23:20:00,6.7,60.527175,-151.2853423,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_031,031,Marine,2026-06-05T07:41:00Z,NA,09A5,3001,Deployed,2026-06-04,23:41:00,6.9,60.529935,-151.297157,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_032,032,Marine,2026-06-05T07:56:00Z,2026-06-09T10:31:00Z,0569,3001,Retrieved,2026-06-04,23:56:00,6.9,60.537917,-151.307512,"Tony,Talise,Brian,Andy,Dan","ziptie, single",2026-06-09,02:31:00,Moved to new location without sd swap. Edit raw file later,-2.4
Marine_032,032,Marine,2026-06-09T10:38:00Z,NA,D569,3001,Deployed,2026-06-09,02:38:00,6.6,60.547695,-151.30626,"Tony,Talise,Brian,Andy,Dan",twine tangled in line,NA,NA,NA,-2.4
Marine_033,033,Marine,2026-06-05T08:32:59Z,NA,0969,3001,Deployed,2026-06-05,00:32:59,5.7,60.552928,-151.299556,"Tony,Talise,Brian,Andy,Dan","twine, single",NA,NA,NA,-2.4
Marine_034,034,Marine,2026-06-09T11:09:00Z,NA,054D,3001,Deployed,2026-06-09,03:09:00,6,60.544582,-151.308331,"Tony,Talise,Brian,Andy,Dan","longline, section of line ziptied",NA,NA,NA,-2.4
Marine_035,035,Marine,2026-06-05T08:30:00Z,NA,0855,3001,Deployed,2026-06-05,00:30:00,5.9,60.552316,-151.300612,"Tony,Talise,Brian,Andy,Dan","twine, single",NA,NA,NA,-2.4
Marine_036,036,Marine,2026-06-05T07:59:00Z,2026-06-09T10:28:00Z,09B5,3001,Retrieved,2026-06-04,23:59:00,6.6,60.538798,-151.307919,"Tony,Talise,Brian,Andy,Dan","ziptie, single",2026-06-09,02:28:00,Moved to new location without sd swap. Edit raw file later,-2.4
Marine_036,036,Marine,2026-06-09T10:41:00Z,NA,09B5,3001,Deployed,2026-06-09,02:41:00,5.8,60.546937,-151.306831,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
